Country,City,Temperature,Humidity,Condition
Global Hub,Accra,77.0,N/A,Reported
Global Hub,Addis Ababa,57.0,N/A,Reported
Global Hub,Adelaide,60.0,N/A,Reported
Global Hub,Algiers,74.0,N/A,Reported
Global Hub,Almaty,77.0,N/A,Reported
Global Hub,Amman,64.0,N/A,Reported
Global Hub,Amsterdam *,64.0,N/A,Reported
Global Hub,Anadyr,43.0,N/A,Reported
Global Hub,Anchorage *,52.0,N/A,Reported
Global Hub,Ankara,50.0,N/A,Reported
Global Hub,Antananarivo,61.0,N/A,Reported
Global Hub,Asuncion,63.0,N/A,Reported
Global Hub,Athens *,71.0,N/A,Reported
Global Hub,Atlanta *,78.0,N/A,Reported
Global Hub,Auckland,66.0,N/A,Reported
Global Hub,Baghdad,74.0,N/A,Reported
Global Hub,Bangkok,88.0,N/A,Reported
Global Hub,Barcelona *,68.0,N/A,Reported
Global Hub,Beijing,76.0,N/A,Reported
Global Hub,Belgrade *,64.0,N/A,Reported
Global Hub,Bengaluru,73.0,N/A,Reported
Global Hub,Berlin *,54.0,N/A,Reported
Global Hub,Bogota,59.0,N/A,Reported
Global Hub,Boston *,48.0,N/A,Reported
Global Hub,Brasilia,63.0,N/A,Reported
Global Hub,Brisbane,67.0,N/A,Reported
Global Hub,Brussels *,63.0,N/A,Reported
Global Hub,Bucharest *,54.0,N/A,Reported
Global Hub,Budapest *,61.0,N/A,Reported
Global Hub,Buenos Aires,52.0,N/A,Reported
Global Hub,Cairo *,72.0,N/A,Reported
Global Hub,Calgary *,57.0,N/A,Reported
Global Hub,Canberra,55.0,N/A,Reported
Global Hub,Cape Town,48.0,N/A,Reported
Global Hub,Caracas,79.0,N/A,Reported
Global Hub,Casablanca *,68.0,N/A,Reported
Global Hub,Chicago *,60.0,N/A,Reported
Global Hub,Copenhagen *,57.0,N/A,Reported
Global Hub,Dallas *,85.0,N/A,Reported
Global Hub,Dar es Salaam,73.0,N/A,Reported
Global Hub,Darwin,84.0,N/A,Reported
Global Hub,Denver *,73.0,N/A,Reported
Global Hub,Detroit *,57.0,N/A,Reported
Global Hub,Dhaka,81.0,N/A,Reported
Global Hub,Doha,88.0,N/A,Reported
Global Hub,Dubai,82.0,N/A,Reported
Global Hub,Dublin *,55.0,N/A,Reported
